tsp_problem,algorithm,time_taken,memory_taken,best_solution,optimal_solution
lin105,Branch-and-Bound,NA,NA,36478.170682675605,14379
linhp318,Branch-and-Bound,NA,NA,119866.892426231,41345
kroD100,Branch-and-Bound,NA,NA,170990.65209342638,21294
kroB200,Branch-and-Bound,NA,NA,327452.3654812089,29437
fl1400,Branch-and-Bound,NA,NA,172582.28847455833,20127
d198,Branch-and-Bound,NA,NA,22514.12084286643,15780
kroA100,Branch-and-Bound,NA,NA,191393.73811099658,21282
d493,Branch-and-Bound,NA,NA,113552.05380101105,35002
kroB150,Branch-and-Bound,NA,NA,273236.42354158557,26130
eil51,Branch-and-Bound,NA,NA,1313.4683444443458,426
ch150,Branch-and-Bound,NA,NA,52812.150238125665,6528
pcb1173,Branch-and-Bound,NA,NA,123874.17146097188,56892
vm1748,Branch-and-Bound,NA,NA,NA,336556
fl417,Branch-and-Bound,NA,NA,55387.19253437542,11861
ts225,Branch-and-Bound,NA,NA,276532.41192840174,126643
berlin52,Branch-and-Bound,NA,NA,22205.617692710774,7542
d1291,Branch-and-Bound,NA,NA,150990.39565981817,50801
d657,Branch-and-Bound,NA,NA,232140.2389199038,48912
u724,Branch-and-Bound,NA,NA,157457.6890859094,41910
a280,Branch-and-Bound,NA,NA,2818.621642239474,2579
kroC100,Branch-and-Bound,NA,NA,183465.31118981243,20749
vm1084,Branch-and-Bound,NA,NA,5350742.143121182,239297
kroA150,Branch-and-Bound,NA,NA,287850.34398418805,26524
eil101,Branch-and-Bound,NA,NA,2064.487021559086,629
u159,Branch-and-Bound,NA,NA,43375.70689190255,42080
tsp225,Branch-and-Bound,NA,NA,10299.896030584343,3916
gil262,Branch-and-Bound,NA,NA,26295.63507597223,2378
eil76,Branch-and-Bound,NA,NA,1974.7138902540141,538
lin318,Branch-and-Bound,NA,NA,119866.892426231,42029
pcb442,Branch-and-Bound,NA,NA,221435.55546749753,50778
u1817,Branch-and-Bound,NA,NA,NA,57201
bier127,Branch-and-Bound,NA,NA,393998.27588724653,118282
nrw1379,Branch-and-Bound,NA,NA,712360.7210851508,56638
u1060,Branch-and-Bound,NA,NA,260168.41996461301,224094
kroB100,Branch-and-Bound,NA,NA,157184.68321921918,22141
d1655,Branch-and-Bound,NA,NA,NA,62128
u1432,Branch-and-Bound,NA,NA,183241.16952931407,152970
u574,Branch-and-Bound,NA,NA,40219.367335503186,36905
ch130,Branch-and-Bound,NA,NA,47800.777963378816,6110
p654,Branch-and-Bound,NA,NA,107781.20528511693,34643
kroE100,Branch-and-Bound,NA,NA,188349.78207301185,22068
kroA200,Branch-and-Bound,NA,NA,373943.37718539895,29368